300	0.035368
302	0.0381776
304	0.0421608
306	0.0472275
308	0.0532874
310	0.0602506
312	0.0680268
314	0.076526
316	0.085658
318	0.0953327
320	0.10546
322	0.116598
324	0.129285
326	0.143398
328	0.158816
330	0.175416
332	0.193076
334	0.211674
336	0.231089
338	0.251198
340	0.27188
342	0.29472
344	0.321161
346	0.350866
348	0.3835
350	0.418725
352	0.456205
354	0.495603
356	0.536582
358	0.578807
360	0.62194
362	0.668472
364	0.72079
366	0.7784
368	0.840811
370	0.90753
372	0.978064
374	1.05192
376	1.12861
378	1.20763
380	1.2885
382	1.37466
384	1.46943
386	1.57215
388	1.68215
390	1.79876
392	1.92132
394	2.04916
396	2.18162
398	2.31802
400	2.4577
402	2.60511
404	2.76459
406	2.93529
408	3.11635
410	3.30693
412	3.50619
414	3.71327
416	3.92733
418	4.14753
420	4.373
422	4.60923
424	4.86156
426	5.12897
428	5.41042
430	5.70491
432	6.01138
434	6.32883
436	6.65621
438	6.99251
440	7.3367
442	7.69523
444	8.07445
446	8.47317
448	8.89016
450	9.32425
452	9.77423
454	10.2389
456	10.717
458	11.2075
460	11.709
462	12.228
464	12.7712
466	13.3378
468	13.9273
470	14.5389
472	15.172
474	15.8258
476	16.4997
478	17.193
480	17.905
482	18.6401
484	19.4025
486	20.1914
488	21.0061
490	21.8459
492	22.7098
494	23.5971
496	24.5072
498	25.439
500	26.392
